NAME,M38U,PNG,DESCR,FEAT,SIMPLE
Сарпасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A1%D0%B0%D1%80%D0%BF%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A1%D0%B0%D1%80%D0%BF%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на пол на живот, руки убрать за спину. Приподнимая корпус и ноги над полом а счёт мышц спины, ягодиц и задней поверхности ног, прогибаемся назад. В конечном положении мягко запрокидываем голову, выдвигая подбородок немного вперёд и растягивая переднюю поверхность шеи. Напряжение мышц очень умеренное, оно должно быть «фоновым» и не мешать общему расслаблению. Расслабить живот, мышцы лица и расслабить дыхание. Глаза закрыты. Время выдержки по ощущениям. Далее лечь на живот и расслабиться, вытянув одну руку вперёд и развернув лицо в сторону вытянутой руки. Время расслабления должно быть достаточным для снятия остаточных ощущений от выдержки асаны. Далее переходить к следующей асане.

","Данная асана «силовая», но в ней мышцы напряжены, работают по минимуму. Напряжение, усилие в асане не явное, сглаженное. Уделять особое внимание расслаблению лица, живота и дыхания в этой асане.

","В качестве более простого варианта можно приподнимать над полом только туловище и голову, оставляя при этом ноги лежать на полу и сохраняя полное расслабление ягодиц и мышц задней поверхности ног.

"
Сетуасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A3%D1%82%D0%BA%D0%B0%D1%82%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A1%D0%B5%D1%82%D1%83%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть, выпрямив ноги перед собой. Поставить ладони рук с развернутыми назад пальцами на пол на расстояние примерно в 40 сантиметров от ягодиц. Расстояние между ладонями примерно равно ширине плеч. Далее, упираясь руками в пол, прогибаемся назад, выводя таз вверх, при этом ступни опускаются к полу. В конечном положении запрокидываем голову назад. Удерживаем это положение комфортное время. Далее опускаем таз, садимся и переходим в исходное положение.","в этой асане присутствует силовой компонент, поэтому, в конечном положении максимально расслабляем дыхание и минимизируем усилия, оставляя лишь тот необходимый минимум, чтобы форма асаны сохранялась. Шею максимально расслабляем во время выдержки.",": Делать менее выраженный прогиб в спине.

 "
Урдхва Прасарита Падасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A3%D1%82%D0%BA%D0%B0%D1%82%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A3%D1%80%D0%B4%D1%85%D0%B2%D0%B0%20%D0%9F%D1%80%D0%B0%D1%81%D0%B0%D1%80%D0%B8%D1%82%D0%B0%20%D0%9F%D0%B0%D0%B4%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на спину, выпрямив ноги. Руки опустить вдоль тела, ладони развернуты к полу. Упираясь ладонями в пол, поднять ноги вверх на 90 градусов. Из этого положения опустить ноги примерно на 60 градусов к полу и держать так некоторое время. Далее, опустить ноги на 30 градусов к полу и также удерживать ноги в этом положении некоторое время. После выполнения опустить ноги на пол и расслабиться.","Эта асана с силовым компонентом. Во время выдержки стараться расслаблять дыхание и мимические мышцы лица, уводить напряжение на дальний план восприятия. Время выдержки диктуется относительным комфортом в асане и отсутствием сильного напряжения.","При подъеме ног можно их несколько сгибать в коленях и держать в таком состоянии во время выполнения каждого этапа асаны.

 "
Уткатасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A3%D1%82%D0%BA%D0%B0%D1%82%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A3%D1%82%D0%BA%D0%B0%D1%82%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Встать на ноги и свести стопы вместе.  Руки поднять над головой, выпрямить и сложить ладони. Сгибая ноги в коленях присесть так, чтобы пятки не отрывались от пола. Глубина приседа и, как следствие, нагрузка от асаны не должна вызывать перенапряжения мышц, её надо подобрать под свой уровень по ощущениям. Держим асану до тех пор, пока напряжение не начнёт нарастать и переходить в разряд явных. Затем выйти из асаны и расслабиться необходимое для снятия остаточного напряжения время. 

","Можно также практиковать слегка соприкасаясь рукой со стеной. 


","Уменьшить глубину приседа. Если положение выпрямленных вверх рук вызывает дискомфорт, то опустить их вдоль тела. "
Уттанасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A3%D1%82%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A3%D1%82%D1%82%D0%B0%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Встать, расставив ноги на ширину плеч.  Начинаем медленный наклон вперёд с прямой спиной, скользя руками по бёдрам. Как только в ногах или спине появляется ощущение натяжения, останавливаем движение вниз, немного уменьшаем амплитуду наклона, чтобы ощущения перешли в разряд едва заметных и остаёмся в этом положении некоторое время. Голова немного запрокинута назад, передняя поверхность шеи немного растянута. Живот расслаблен. Постояв таким образом некоторое время (примерно минуту), расслабляем спину и опускаем корпус вниз, как бы вывешивая его на ногах.

При этом ноги могут оставаться прямыми или слегка подсогнутыми в коленях. Шея расслаблена, голова свободно свисает вниз. Руки также свободно повисают вниз либо свисают в локтевом замке. Глаза закрыты. Дыхание расслаблено. По мере расслабления, туловище может под действием силы тяжести немного провисать вниз глубже. Таким образом, гибкость повышается спонтанно, за счёт расслабления.

Стоим в таком положении комфортное время.

Как только возникает дискомфорт, чувствуется явный прилив крови к лицу, увеличение напряжения и пр. – выходим из асаны, выпрямляя корпус и стоим, расслабляемся до тех пор, пока в теле не исчезнут остаточные ощущения от выполненной асаны.

","Людям с повышенным давлением следует оставаться только в первой стадии выполнения асаны, когда корпус прямой и уровень головы выше положения таза.

","В наклоне вперёд можно руки ставить на стул и далее, наклоняясь вперёд, контролировать степень воздействия асаны, сгибая руки до нужного предела."
Уттхита Парсваконасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A3%D1%82%D1%82%D1%85%D0%B8%D1%82%D0%B0%20%D0%9F%D0%B0%D1%80%D1%81%D0%B2%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A3%D1%82%D1%82%D1%85%D0%B8%D1%82%D0%B0%20%D0%9F%D0%B0%D1%80%D1%81%D0%B2%D0%B0%D0%BA%D0%BE%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Вход в асану. Поворачиваем стопу  левой  ноги на 90 градусов влево, а правую стопу доворачиваем влево примерно на 45 – 60 градусов. Сгибаем левую ногу в колене примерно на 90 градусов, наклоняем корпус к бедру левой ноги и ставим левую руку на пол с внешней стороны левой ноги. Пальцы левой руки и левой ноги примерно на одном уровне. Правую руку выводим в сторону - вверх, она является продолжением линии нога – корпус. Лицо развёрнуто вверх. Шея – продолжение линии позвоночника. Вес тела распределяем удобно между опорной рукой и опорной ногой. Дыхание расслаблено. Время выдержки по ощущениям. Выходим в обратной последовательности и стоим, отдыхаем необходимое время, чтобы вся нагрузка от асаны стёрлась. Далее выполняем асану вправо.

","Выполнять лучше у стены, стоя спиной к стене, во время наклона соприкасаться со стеной спиной, ягодицей и головой и тыльной поверхностью правой руки.

","В качестве опоры под руку использовать пропс-подставку (кирпичик). Во время выполнения руку, вытянутую вверх, если это положение вызывает дискомфорт, можно убрать за спину и расслабить плечо. 

 "
Уттхита Триконасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A3%D1%82%D1%82%D1%85%D0%B8%D1%82%D0%B0%20%D0%A2%D1%80%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A3%D1%82%D1%82%D1%85%D0%B8%D1%82%D0%B0%20%D0%A2%D1%80%D0%B8%D0%BA%D0%BE%D0%BD%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Асана выполняется стоя.
Исходное положение - Стоя, развести ноги на ширину примерно две ширины плеч. Пятки стоят на одной линии.
Вход в асану. Поворачиваем стопу  левой  ноги на 90 градусов влево, а правую стопу доворачиваем влево примерно на 45 – 60 градусов. Далее наклоняемся корпусом влево скользя левой рукой по левой ноге. Наклоняемся до начала возникновения ощущения натяжения в левой ноге либо ощущения натяжения в левом боку. Правая рука вытягивается вверх. Лицо обращено вверх. Шея – продолжение линии позвоночника.
Выдержка асаны по ощущениям согласно технологии. После выполнения выйти из асаны в обратной последовательности и расслабиться стоя, ноги на ширине плеч. Время расслабления между выполнением асаны в левую и в правую сторону должно быть таким, чтобы стёрлись все ощущения от предыдущей асаны и уравновесилось дыхание. Далее выполнить в правую сторону.","Выполнять лучше у стены, стоя спиной к стене, во время наклона соприкасаться со стеной спиной, ягодицей и головой и тыльной поверхностью правой руки.","Во время выполнения подсгибать ногу, к которой идёт наклон, в качестве опоры под руку использовать пропс-подставку (кирпичик), руку, вытянутую вверх, если это положение вызывает дискомфорт, можно убрать за спину и расслабить плечо. "
Уштрасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A3%D1%88%D1%82%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A3%D1%88%D1%82%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть на пятки. Встать на колени и развести ноги на ширину плеч. Корпус прямо. Медленно отклоняясь назад и немного вправо, опустить правую ладонь на пятку правой ноги и упереться в неё. Далее, перенося вес тела на правую руку, продолжать прогибаться назад и поставить левую ладонь на левую пятку. Немного качнуть корпус вперёд, распределив нагрузку между бёдрами и руками. Голову запрокинуть. Расслабить лицо и дыхание. Глаза закрыты. Держать асану комфортное время.

Выход делать через левую руку: отрываем правую руку от пятки, перенося вес тела на левую руку, и далее следуя движению вперёд, выходим из асаны, садимся и расслабляемся.","В этой асане происходит достаточно сильный прогиб спины назад, поэтому, следует быть предельно внимательным с ощущениями, дабы избежать перегрузки и травмы.","В начале выполнения асаны можно ступни поставить на носочки, что облегчит выполнение конечного положения, т.к. прогиб в спине при таком выполнении будет уменьшен.

 "
Халасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A5%D0%B0%D0%BB%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A5%D0%B0%D0%BB%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лягте на спину. Подложите сложенное одеяло так, чтобы его край был на уровне шеи, а все остальное одеяло было бы под областью плеч и лопаток. Одеяло образует некий перепад высот: голова находится на полу, шея на перепаде высот, а плечи и лопатки на возвышении. Толкаясь руками от пола, поднимите ноги вверх, далее следуя движению, вслед за ногами поднимите корпус. Ноги, заводя далеко за голову, поставьте на пол. Колени могут быть слегка подсогнуты. Вес тела приходится на область лопаток и верх спины. Шея разгружена. Руки можно оставить лежащими вдоль линии тела либо сцепить в пальцевый замок и выпрямить. В таком варианте также воздействие будет происходить и на плечевой пояс. Глаза закрыты. Максимально расслабиться в асане. Расслабить дыхание. Время выдержки по ощущениям. Далее выйти из асаны и расслабиться в Шавасане.","Очень важно отслеживать нагрузку в асане. Шейный отдел позвоночника не должен нести нагрузку. Для этого делается подкладка-уступ, чтобы разгрузить шею. Время выдержки на первых этапах освоения не должно превышать 30 секунд. По мере освоения время будет увеличиваться.","В конечном положении, если ноги не достают до пола, то можно их поставить на предварительно сделанное возвышение: «кирпичики», стопка книг, табурет и т.п. Ноги ни в коем случае не должны оставаться на вису!"
Цикл лотосообразных асан,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A6%D0%B8%D0%BA%D0%BB%20%D0%BB%D0%BE%D1%82%D0%BE%D1%81%D0%BE%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BD%D1%8B%D1%85%20%D0%B0%D1%81%D0%B0%D0%BD/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A6%D0%B8%D0%BA%D0%BB%20%D0%BB%D0%BE%D1%82%D0%BE%D1%81%D0%BE%D0%BE%D0%B1%D1%80%D0%B0%D0%B7%D0%BD%D1%8B%D1%85%20%D0%B0%D1%81%D0%B0%D0%BD.png,"Сесть на пол в Ардха Падмасану. Из этого положения, немного развернув корпус влево, начать наклон вперёд к левому колену (грудная клетка над коленом). Спина при этом может несколько скругляться. Руки на начальном этапе освоения могут упираться в пол перед собой, тем самым можно осуществлять дозировку воздействия асаны на тело, - глубину наклона. Находиться в асане по ощущениям. По мере расслабления корпус может несколько «проседать», углубляя угол наклона. После выдержки асаны выпрямить спину и выполнить наклон, не меняя положения ног, в правую сторону к правому колену. По завершению выдержки асаны, выпрямить корпус, выпрямить ноги перед собой и, поменяв взаимное положение ног, сделать ещё раз эту асану в том же порядке, что было описано выше. После завершения цикла можно, выпрямив ноги, откинуться назад на руки и поседеть в этом положении, сняв нагрузку с ног."," По мере освоения асаны и лёгкости выполнения, руки можно складывать за спиной в кистевой замок и выполнять наклон в таком положении. Этот цикл способствует освоению «лотосообразных» асан, осуществляя необходимое для этого воздействие на нижние конечности. Быть предельно внимательным в отношении силы воздействия (ощущений) в области коленей во время выполнения!","Если положение Ардха Падмасаны вызывает затруднения, то исходное положение можно принимать, садясь в Сукхасану («по-турецки» со скрещенными ногами)"
Чакрасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A7%D0%B0%D0%BA%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A7%D0%B0%D0%BA%D1%80%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на спину, выпрямив ноги. Согнуть ноги в коленях, подвести пятки к ягодицам, колени смотрят вверх. Захватить руками лодыжки. Удерживая руками захват ног, прогибаемся назад в пояснице, выводя таз вверх. Остаемся в этом положении некоторое время. Это – Ардха Чакрасана, поза полуколеса.

Далее, снимаем захват ног руками, сохраняя при этом положение прогиба корпуса, и ставим ладони рук на пол возле ушей. Выпрямляя руки и ноги до определённой степени, прогибаемся назад и выходим в положение «гимнастического мостика». Это – Чакрасана («поза колеса»). Время выдержки по ощущениям. В конечном положении расслабляем лицо и дыхание. После выдержки медленно ложимся на пол и расслабляемся.","Выполнение этой асаны требует хорошей гибкости позвоночника. Если Вы чувствуете затруднения при её выполнении, то, на некоторое время, следует перейти к практике более простых прогибов (Бхуджангасана, Дханурасана). После совершенствования в этих асанах можно будет вновь вернуться к освоению Чакрасаны.","На первых этапах освоения можно оставаться в положении Ардха Чакрасаны всё время выдержки.

 "
Чатуранга Дандасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A7%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BD%D0%B3%D0%B0%20%D0%94%D0%B0%D0%BD%D0%B4%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A7%D0%B0%D1%82%D1%83%D1%80%D0%B0%D0%BD%D0%B3%D0%B0%20%D0%94%D0%B0%D0%BD%D0%B4%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,],"Эта асана с явно выраженным силовым компонентом. Во время выполнения стараться снимать лишнее усилие, оставляя только необходимый минимум для поддержания формы асаны. Таким образом, напряжение будет минимально представлено в восприятии, что позволит сохранять общее состояние покоя.","Если сложно выполнить конечное положение асаны, то можно оставаться в упоре в пол с прямыми руками. Если же и это положение окажется сложным, то допустимо сгибать ноги в коленях и ставить их также в упор на пол. При таком варианте исполнения часть нагрузки с области рук будет снята, что позволит без труда выдерживать асану некоторое время.

 "
Шавасана 1,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A8%D0%B0%D0%B2%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%201/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A8%D0%B0%D0%B2%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%201.png,"Лечь на пол на спину. Ноги развести на ширину плеч. Руки немного развести в стороны и развернуть их ладонями вверх (если это не вызывает дискомфорта). Закрыть глаза и полностью расслабиться, слушая команды по расслаблению, либо самостоятельно проводя внимание по телу в определённой последовательности и снимая напряжение. При качественном расслаблении возникает необычное состояние – между сном и бодрствованием, которое является ключом как к исцелению от болезней, так и к различным высшим переживаниям.

","Эта асана для очень глубокого расслабления, поэтому, важно научиться находиться в ней максимально комфортно и длительное время. 

","если выполнение асаны по той или иной причине невозможно лёжа на спине, то возможны варианты выполнения либо лёжа на животе, либо сидя в кресле, комфортно откинувшись на спинку. 
 "
Шавасана 2,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A8%D0%B0%D0%B2%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%202/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A8%D0%B0%D0%B2%D0%B0%D1%81%D0%B0%D0%BD%D0%B0%202.png,"Лечь на пол на спину. Ноги развести на ширину плеч. Руки немного развести в стороны и развернуть их ладонями вверх (если это не вызывает дискомфорта). Закрыть глаза и полностью расслабиться, слушая команды по расслаблению, либо самостоятельно проводя внимание по телу в определённой последовательности и снимая напряжение. При качественном расслаблении возникает необычное состояние – между сном и бодрствованием, которое является ключом как к исцелению от болезней, так и к различным высшим переживаниям.

","Эта асана для очень глубокого расслабления, поэтому, важно научиться находиться в ней максимально комфортно и длительное время. 

","если выполнение асаны по той или иной причине невозможно лёжа на спине, то возможны варианты выполнения либо лёжа на животе, либо сидя в кресле, комфортно откинувшись на спинку. 
 "
Шалабхасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A8%D0%B0%D0%BB%D0%B0%D0%B1%D1%85%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A8%D0%B0%D0%BB%D0%B0%D0%B1%D1%85%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Лечь на живот, выпрямив ноги, руки выпрямить вдоль туловища. Подбородок поставить на пол. Немного покачиваясь корпусом вправо-влево, задвигаем руки под туловище ладонями вверх, сводя как можно ближе друг к другу локти. Ступни соединяем вместе, пятки смотрят вверх. Сжимаем ладони и пальцы рук в кулаки. Из этого положения медленно поднимаем обе ноги вверх, отрывая бёдра от пола. Руки работают как некие рычаги. При этом задняя поверхность бёдер, ягодицы, и мышцы спины умеренно напрягаются. Удерживаем это положение комфортное время, расслабляя лицо, живот и дыхание. Время выдержки по ощущениям. После выдержки вернуться в исходное положение и расслабиться.","В этой асане присутствует силовой компонент, поэтому, в конечном положении пробуем минимизировать усилия, тем самым, отводя их на задний план восприятия.","Если подъём обеих ног вызывает затруднение, то можно выполнять эту асану, поднимая ноги поочерёдно: сначала левую, а затем, опустив левую, поднять правую. Время выдержки конечного положения по ощущениям.

 "
Шашанкасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A8%D0%B0%D1%88%D0%B0%D0%BD%D0%BA%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A8%D0%B0%D1%88%D0%B0%D0%BD%D0%BA%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть на пол на пятки, ноги сведены вместе. Выполнить наклон вперёд, опуская туловище на бёдра и колени. Руки вытянуть перед собой и положить на пол ладонями вниз. Расслабить шею. Последовательно расслабить все мышцы и всё тело целиком. Глаза закрыты. Дыхание естественное. Время выдержки по ощущениям, но не более 3-х минут. Далее выйти из асаны, выпрямив туловище вертикально вверх и переходить к выполнению следующей асаны. 

","В этой асане максимально расслабляются все мышцы.

","Если возникает дискомфорт в области живота при наклоне корпуса вперёд и надавливании бёдер на живот, то можно развести колени в стороны, тем самым исключив сильное воздействие на внутренние органы. Также можно ограничить наклон вперёд при необходимости за счёт упора рук в пол перед собой.
 

"
Ширшасана,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/asanas/%D0%A8%D0%B8%D1%80%D1%88%D0%B0%D1%81%D0%B0%D0%BD%D0%B0/master.m3u8,https://306db23b-28a8-4747-9e82-03c375b47fa8.selstorage.ru/png/%D0%A8%D0%B8%D1%80%D1%88%D0%B0%D1%81%D0%B0%D0%BD%D0%B0.png,"Сесть на пол, на пятки. Наклониться вперёд и поставить руки перед собой на предплечья так, чтобы локти были на ширине плеч, а руки сцепить в пальцевый замок. Поставить голову на пол рядом с руками на область на голове, расположенную на 4 пальца к макушке от начала волос, и обхватить руками, сложенными в пальцевый замок. Таким образом, локти и голова образуют равносторонний треугольник.

Выпрямить ноги, выводя таз вверх, и в этом положении немного приблизить ступни к голове. Это начальное положение Ширшасаны.

Далее толкнуться одной ногой от пола, делая замах другой и вывести корпус в вертикальное положение, пытаясь поймать равновесие. Ноги при этом согнуты в коленях. Когда тело уравновесилось, то можно медленно выпрямлять ноги и оставаться в этом положении. Глаза закрыты. Дыхание расслаблено. Время выдержки по ощущениям. Далее выйти из асаны и расслабиться в Шавасане.","На начальном этапе лучше эту асану выполнять у стены (на небольшом расстоянии от неё), чтобы в случае потери равновесия предотвратить падение назад на спину.","на первом этапе можно выполнять только предварительный вариант (начальное положение).

 

"